   	      	                          fitness                          	              size              
   	      	-----------------------------------------------------------	--------------------------------
gen	nevals	avg     	max     	min     	std        	avg    	max	min	std     
0  	1024  	0.253983	0.314858	0.184689	0.0316528  	16.1826	63 	3  	13.3391 
1  	1024  	0.21264 	0.266953	0.184689	0.0156472  	16.0967	64 	2  	13.2699 
2  	1024  	0.195152	0.231653	0.184689	0.0060974  	14.3945	62 	2  	11.8342 
3  	1024  	0.189184	0.19759 	0.184689	0.00282918 	10.9863	61 	2  	7.79046 
4  	1024  	0.186213	0.191143	0.184689	0.00132623 	11.0088	66 	3  	6.74978 
5  	1024  	0.185053	0.188741	0.18446 	0.000750188	9.29883	66 	5  	4.47176 
6  	1024  	0.184699	0.186858	0.18446 	0.00014166 	8.12109	18 	7  	0.771175
7  	1024  	0.184677	0.188315	0.18446 	0.000129073	8.20996	40 	6  	1.24211 
8  	1024  	0.184624	0.185097	0.184288	0.000110524	8.46582	15 	6  	1.23933 
9  	1024  	0.18452 	0.186839	0.184288	0.000137232	8.99902	20 	7  	1.76583 
10 	1024  	0.184427	0.188838	0.184288	0.000190293	9.79102	21 	7  	2.15087 
11 	1024  	0.184337	0.184689	0.183977	8.25559e-05	12.0498	50 	7  	3.91692 
12 	1024  	0.184278	0.18502 	0.183471	9.18584e-05	15.1396	50 	8  	6.45863 
13 	1024  	0.18421 	0.184855	0.182668	0.000193096	19.5791	50 	8  	10.7368 
14 	1024  	0.183995	0.185481	0.182668	0.000323805	27.6992	56 	12 	12.867  
15 	1024  	0.183576	0.184288	0.182156	0.000410743	28.0703	56 	14 	11.8928 
16 	1024  	0.183038	0.183977	0.182156	0.000398442	36.291 	56 	15 	13.5409 
17 	1024  	0.182586	0.183471	0.181959	0.000247657	44.2891	53 	16 	7.98561 
18 	1024  	0.182304	0.182668	0.181786	0.000251241	37.8242	53 	23 	7.24113 
19 	1024  	0.182066	0.182668	0.181071	0.000172444	33.8789	50 	22 	2.27739 
20 	1024  	0.181849	0.182569	0.180903	0.000226363	32.9834	47 	23 	2.30631 
21 	1024  	0.181581	0.182467	0.180903	0.000292427	33.3506	53 	28 	3.31591 
22 	1024  	0.181197	0.181789	0.180755	0.000223942	34.5479	53 	28 	4.29453 
23 	1024  	0.181016	0.181295	0.180755	9.01062e-05	34.6221	51 	28 	3.96749 
24 	1024  	0.180911	0.181071	0.180755	7.56868e-05	37.0957	51 	28 	3.13165 
25 	1024  	0.180839	0.181042	0.180755	5.39511e-05	36.3857	59 	28 	2.82543 
