1	1.50	0.25	0.20
2	1.50	0.25	0.50
3	1.50	0.25	0.70
4	1.50	0.25	1.00
5	1.50	0.50	0.20
6	1.50	0.50	0.50
7	1.50	0.50	0.70
8	1.50	0.50	1.00
9	1.50	0.75	0.20
10	1.50	0.75	0.50
11	1.50	0.75	0.70
12	1.50	0.75	1.00
13	1.50	1.00	0.20
14	1.50	1.00	0.50
15	1.50	1.00	0.70
16	1.50	1.00	1.00
17	1.80	0.25	0.20
18	1.80	0.25	0.50
19	1.80	0.25	0.70
20	1.80	0.25	1.00
21	1.80	0.50	0.20
22	1.80	0.50	0.50
23	1.80	0.50	0.70
24	1.80	0.50	1.00
25	1.80	0.75	0.20
26	1.80	0.75	0.50
27	1.80	0.75	0.70
28	1.80	0.75	1.00
29	1.80	1.00	0.20
30	1.80	1.00	0.50
31	1.80	1.00	0.70
32	1.80	1.00	1.00
33	2.10	0.25	0.20
34	2.10	0.25	0.50
35	2.10	0.25	0.70
36	2.10	0.25	1.00
37	2.10	0.50	0.20
38	2.10	0.50	0.50
39	2.10	0.50	0.70
40	2.10	0.50	1.00
41	2.10	0.75	0.20
42	2.10	0.75	0.50
43	2.10	0.75	0.70
44	2.10	0.75	1.00
45	2.10	1.00	0.20
46	2.10	1.00	0.50
47	2.10	1.00	0.70
48	2.10	1.00	1.00
